time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7
1676067119.7157373,0.0,0.040999999999999995,0.235,0.0,0.02,0.86,0.04,0.0,0.0,49.0,37.0,38.0,34.0,
1676067119.917653,5.305,0.095,0.1,0.0,0.0,1.0,0.0,0.0,0.0,50.0,38.0,38.0,35.0,
1676067120.1187332,5.305,0.0,0.053,0.0,0.0,1.0,0.048,0.0,0.0,51.0,38.0,39.0,35.0,
1676067120.3197932,5.305,0.05,0.1,0.0,0.048,1.0,0.048,0.05,0.0,51.0,39.0,39.0,35.0,
1676067120.5209832,5.305,0.0,0.05,0.0,0.0,1.0,0.0,0.048,0.0,52.0,39.0,40.0,36.0,
1676067120.7220442,5.305,0.05,0.053,0.0,0.0,1.0,0.105,0.0,0.0,52.0,41.0,40.0,36.0,
1676067120.9230947,5.729,0.05,0.14300000000000002,0.0,0.0,1.0,0.048,0.0,0.13,52.0,40.0,40.0,36.0,
1676067121.1241386,5.729,0.048,0.136,0.0,0.0,1.0,0.0,0.048,0.0,53.0,40.0,41.0,37.0,
1676067121.3253326,5.729,0.0,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,40.0,41.0,37.0,
1676067121.52641,5.729,0.048,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,40.0,41.0,37.0,
1676067121.7274547,5.729,0.05,0.136,0.0,0.0,1.0,0.0,0.0,0.0,53.0,41.0,41.0,37.0,
1676067121.928534,5.729,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,41.0,41.0,37.0,
1676067122.1298318,5.622,0.105,0.1,0.048,0.0,1.0,0.0,0.0,0.048,53.0,41.0,41.0,37.0,
1676067122.33098,5.622,0.0,0.053,0.05,0.0,1.0,0.105,0.0,0.0,54.0,41.0,41.0,37.0,
1676067122.5321214,5.622,0.053,0.105,0.0,0.0,1.0,0.0,0.048,0.0,54.0,41.0,41.0,38.0,
1676067122.7333863,5.622,0.1,0.095,0.048,0.0,1.0,0.048,0.0,0.0,54.0,41.0,42.0,38.0,
1676067122.934479,5.622,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,54.0,41.0,42.0,38.0,
1676067123.1355634,5.611,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.091,54.0,41.0,42.0,38.0,
1676067123.336651,5.611,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.0,54.0,42.0,42.0,38.0,
1676067123.537722,5.611,0.0,0.095,0.0,0.0,1.0,0.05,0.0,0.0,54.0,42.0,42.0,38.0,
1676067123.7387998,5.611,0.05,0.1,0.0,0.0,1.0,0.1,0.0,0.0,54.0,45.0,42.0,38.0,
1676067123.93988,5.611,0.048,0.053,0.0,0.05,1.0,0.05,0.0,0.0,55.0,42.0,42.0,38.0,
1676067124.1411238,5.611,0.0,0.095,0.0,0.0,1.0,0.0,0.0,0.0,55.0,42.0,42.0,38.0,
1676067124.3423371,5.653,0.05,0.1,0.0,0.048,1.0,0.0,0.048,0.0,55.0,42.0,42.0,38.0,
1676067124.5434246,5.653,0.0,0.14300000000000002,0.05,0.0,1.0,0.0,0.0,0.05,55.0,42.0,42.0,38.0,
1676067124.7444944,5.653,0.05,0.05,0.0,0.0,1.0,0.048,0.0,0.0,55.0,42.0,43.0,38.0,
1676067124.945562,5.489,0.05,0.1,0.0,0.091,1.0,0.095,0.0,0.0,55.0,42.0,43.0,39.0,
1676067125.1466317,5.489,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,55.0,42.0,43.0,39.0,
1676067125.3477309,5.489,0.095,0.136,0.0,0.0,1.0,0.15,0.048,0.048,55.0,43.0,43.0,39.0,
1676067125.5488071,5.489,0.048,0.053,0.0,0.0,1.0,0.048,0.05,0.048,55.0,43.0,43.0,39.0,
1676067125.7499948,5.489,0.0,0.053,0.0,0.048,1.0,0.0,0.0,0.0,55.0,42.0,43.0,39.0,
1676067125.951064,5.607,0.095,0.095,0.0,0.0,1.0,0.05,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.152136,5.607,0.0,0.14300000000000002,0.05,0.05,1.0,0.0,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.3533568,5.607,0.05,0.1,0.0,0.0,1.0,0.091,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.5544283,5.607,0.05,0.053,0.0,0.0,1.0,0.0,0.048,0.0,55.0,43.0,43.0,39.0,
1676067126.7554944,5.607,0.0,0.136,0.0,0.0,1.0,0.0,0.05,0.0,55.0,43.0,43.0,39.0,
1676067126.956579,5.676,0.05,0.053,0.0,0.091,1.0,0.1,0.048,0.048,55.0,43.0,44.0,39.0,
1676067127.1576474,5.676,0.05,0.1,0.0,0.0,1.0,0.048,0.05,0.0,55.0,43.0,43.0,39.0,
1676067127.3587153,5.676,0.05,0.05,0.0,0.0,1.0,0.05,0.0,0.0,55.0,43.0,44.0,39.0,
1676067127.5598097,5.676,0.0,0.14300000000000002,0.0,0.05,1.0,0.048,0.05,0.0,55.0,43.0,43.0,39.0,
1676067127.7610414,5.676,0.095,0.053,0.0,0.0,1.0,0.0,0.048,0.0,55.0,43.0,43.0,39.0,
1676067127.9621143,5.676,0.05,0.095,0.0,0.0,1.0,0.05,0.0,0.0,55.0,43.0,43.0,39.0,
1676067128.1631985,5.676,0.0,0.1,0.0,0.0,1.0,0.0,0.048,0.05,56.0,43.0,43.0,39.0,
1676067128.364308,5.676,0.095,0.053,0.0,0.091,1.0,0.15,0.0,0.091,55.0,44.0,44.0,39.0,
1676067128.5655215,5.676,0.0,0.136,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,43.0,39.0,
1676067128.766593,5.676,0.0,0.053,0.0,0.0,1.0,0.048,0.0,0.0,56.0,43.0,43.0,39.0,
1676067128.9676487,5.676,0.048,0.1,0.0,0.05,1.0,0.048,0.048,0.0,55.0,43.0,44.0,39.0,
1676067129.1687179,5.645,0.05,0.095,0.0,0.0,1.0,0.0,0.091,0.0,56.0,43.0,44.0,39.0,
1676067129.3697972,5.645,0.05,0.053,0.048,0.0,1.0,0.05,0.0,0.0,55.0,43.0,43.0,40.0,
1676067129.5708632,5.645,0.05,0.14300000000000002,0.0,0.0,1.0,0.048,0.0,0.0,56.0,43.0,44.0,39.0,
1676067129.7719266,5.645,0.0,0.1,0.048,0.0,1.0,0.05,0.048,0.0,56.0,43.0,44.0,39.0,
1676067129.9731896,5.599,0.05,0.05,0.0,0.0,1.0,0.182,0.048,0.048,56.0,44.0,44.0,39.0,
1676067130.174247,5.599,0.05,0.1,0.0,0.091,1.0,0.0,0.0,0.0,56.0,43.0,44.0,40.0,
1676067130.3753223,5.599,0.05,0.1,0.0,0.05,1.0,0.0,0.091,0.0,56.0,44.0,44.0,40.0,
1676067130.5763965,5.599,0.0,0.05,0.0,0.0,1.0,0.048,0.05,0.0,56.0,43.0,44.0,40.0,
1676067130.7775872,5.599,0.095,0.1,0.0,0.0,1.0,0.0,0.048,0.0,56.0,44.0,44.0,40.0,
1676067130.9786549,5.683,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.095,56.0,43.0,44.0,40.0,
1676067131.1797154,5.683,0.0,0.095,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,44.0,39.0,
1676067131.3807929,5.683,0.095,0.1,0.0,0.0,1.0,0.053,0.048,0.091,55.0,46.0,44.0,40.0,
1676067131.581874,5.683,0.0,0.053,0.0,0.0,1.0,0.0,0.095,0.0,56.0,44.0,44.0,40.0,
1676067131.782942,5.683,0.05,0.136,0.0,0.0,1.0,0.0,0.048,0.0,56.0,43.0,44.0,40.0,
1676067131.9840157,5.668,0.05,0.053,0.0,0.048,1.0,0.0,0.0,0.05,56.0,44.0,44.0,40.0,
1676067132.18523,5.668,0.05,0.1,0.0,0.0,1.0,0.0,0.048,0.0,56.0,44.0,44.0,40.0,
1676067132.3863037,5.668,0.0,0.095,0.0,0.048,1.0,0.05,0.0,0.048,56.0,44.0,44.0,40.0,
1676067132.5873861,5.668,0.05,0.1,0.0,0.048,1.0,0.0,0.0,0.048,56.0,44.0,44.0,40.0,
1676067132.7884758,5.668,0.05,0.053,0.0,0.048,1.0,0.048,0.048,0.048,56.0,43.0,44.0,40.0,
1676067132.989577,5.668,0.0,0.05,0.048,0.0,1.0,0.15,0.0,0.05,56.0,44.0,44.0,40.0,
1676067133.1906497,5.71,0.05,0.14300000000000002,0.0,0.0,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676067133.3917217,5.71,0.05,0.053,0.048,0.048,1.0,0.048,0.091,0.0,56.0,44.0,44.0,40.0,
1676067133.5927796,5.71,0.05,0.053,0.0,0.0,1.0,0.136,0.0,0.091,56.0,44.0,44.0,40.0,
1676067133.7938335,5.71,0.0,0.095,0.0,0.0,1.0,0.048,0.0,0.0,56.0,44.0,44.0,40.0,
1676067133.994998,5.687,0.263,0.1,0.0,0.0,1.0,0.105,0.0,0.0,56.0,44.0,45.0,40.0,
1676067134.196074,5.687,0.05,0.1,0.0,0.0,1.0,0.0,0.048,0.0,56.0,44.0,44.0,40.0,
1676067134.3973095,5.687,0.05,0.1,0.0,0.0,1.0,0.05,0.095,0.0,56.0,44.0,45.0,40.0,
1676067134.5984058,5.687,0.0,0.05,0.048,0.0,1.0,0.14300000000000002,0.0,0.0,57.0,44.0,44.0,40.0,
1676067134.7994723,5.687,0.05,0.1,0.0,0.05,1.0,0.0,0.0,0.048,56.0,44.0,44.0,40.0,
1676067135.0005336,5.687,0.048,0.14300000000000002,0.0,0.091,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676067135.2016096,5.668,0.0,0.05,0.0,0.048,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067135.4026804,5.668,0.048,0.1,0.0,0.0,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676067135.6037505,5.668,0.0,0.1,0.0,0.05,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067135.8048065,5.668,0.05,0.05,0.0,0.0,1.0,0.048,0.0,0.0,57.0,44.0,44.0,40.0,
1676067136.0058994,5.607,0.05,0.1,0.0,0.0,1.0,0.15,0.048,0.0,57.0,45.0,45.0,40.0,
1676067136.2069547,5.607,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067136.4080236,5.607,0.048,0.136,0.0,0.048,1.0,0.048,0.0,0.05,56.0,44.0,44.0,40.0,
1676067136.6092546,5.607,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067136.8104553,5.607,0.05,0.05,0.0,0.0,1.0,0.0,0.05,0.0,57.0,44.0,44.0,40.0,
1676067137.0115209,5.607,0.048,0.1,0.0,0.095,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067137.2125866,5.607,0.0,0.053,0.048,0.0,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067137.4136426,5.607,0.0,0.05,0.0,0.0,1.0,0.0,0.048,0.0,56.0,44.0,44.0,40.0,
1676067137.6147537,5.607,0.095,0.1,0.0,0.0,1.0,0.15,0.05,0.048,57.0,44.0,45.0,40.0,
1676067137.8158479,5.607,0.0,0.14300000000000002,0.0,0.0,1.0,0.095,0.048,0.0,57.0,44.0,45.0,40.0,
1676067138.0170786,5.607,0.05,0.05,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067138.2181396,5.607,0.05,0.053,0.0,0.05,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067138.4192028,5.775,0.05,0.14300000000000002,0.0,0.0,1.0,0.048,0.0,0.0,57.0,44.0,45.0,40.0,
1676067138.6202705,5.775,0.0,0.053,0.0,0.05,1.0,0.0,0.048,0.048,57.0,44.0,45.0,40.0,
1676067138.821484,5.775,0.095,0.095,0.0,0.048,1.0,0.0,0.0,0.0,57.0,44.0,44.0,40.0,
1676067139.0225596,5.775,0.0,0.053,0.0,0.0,1.0,0.1,0.0,0.048,56.0,47.0,45.0,40.0,
1676067139.2236757,5.538,0.05,0.182,0.0,0.0,1.0,0.095,0.0,0.091,57.0,44.0,45.0,40.0,
1676067139.4247558,5.538,0.0,0.095,0.0,0.0,1.0,0.0,0.048,0.0,57.0,44.0,45.0,40.0,
1676067139.6258214,5.538,0.0,0.0,0.048,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067139.8268847,5.538,0.095,0.1,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067140.0280187,5.63,0.05,0.1,0.0,0.0,1.0,0.048,0.095,0.0,57.0,44.0,45.0,40.0,
1676067140.2292404,5.63,0.0,0.095,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067140.4303114,5.63,0.048,0.1,0.048,0.0,1.0,0.0,0.048,0.0,57.0,44.0,45.0,40.0,
1676067140.6314106,5.63,0.05,0.14300000000000002,0.0,0.048,1.0,0.15,0.05,0.0,57.0,45.0,45.0,40.0,
1676067140.8324873,5.63,0.0,0.095,0.0,0.0,1.0,0.0,0.0,0.048,57.0,44.0,45.0,41.0,
1676067141.033563,5.802,0.095,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067141.234664,5.802,0.05,0.053,0.0,0.05,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067141.435735,5.802,0.05,0.095,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067141.6368017,5.802,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067141.8378627,5.638,0.05,0.1,0.0,0.05,1.0,0.0,0.0,0.0,57.0,44.0,45.0,41.0,
1676067142.038937,5.638,0.05,0.05,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,40.0,
1676067142.2400277,5.638,0.0,0.14300000000000002,0.0,0.048,1.0,0.1,0.0,0.0,57.0,45.0,45.0,41.0,
1676067142.44127,5.638,0.095,0.053,0.0,0.05,1.0,0.0,0.05,0.05,57.0,44.0,45.0,41.0,
1676067142.6423495,5.638,0.0,0.095,0.0,0.0,1.0,0.091,0.0,0.0,57.0,45.0,45.0,41.0,
1676067142.843441,5.725,0.095,0.053,0.0,0.048,1.0,0.0,0.0,0.0,57.0,44.0,45.0,41.0,
1676067143.0445118,5.725,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.05,57.0,44.0,45.0,41.0,
1676067143.2455783,5.725,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,41.0,
1676067143.4466422,5.725,0.0,0.05,0.048,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067143.64773,5.725,0.05,0.1,0.0,0.091,1.0,0.15,0.0,0.0,57.0,45.0,45.0,41.0,
1676067143.848796,5.725,0.048,0.095,0.0,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067144.0498648,5.687,0.0,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,41.0,
1676067144.2509425,5.687,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.048,57.0,44.0,45.0,41.0,
1676067144.4520113,5.687,0.048,0.174,0.048,0.05,1.0,0.048,0.0,0.0,57.0,45.0,45.0,41.0,
1676067144.6532266,5.687,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067144.8542902,5.687,0.0,0.1,0.0,0.048,1.0,0.0,0.048,0.0,57.0,45.0,45.0,41.0,
1676067145.0553627,5.699,0.095,0.095,0.0,0.0,1.0,0.0,0.0,0.0,57.0,44.0,45.0,41.0,
1676067145.2564454,5.699,0.0,0.1,0.0,0.0,1.0,0.105,0.0,0.0,57.0,45.0,45.0,41.0,
1676067145.4576283,5.699,0.048,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067145.6586916,5.699,0.05,0.05,0.0,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067145.8597593,5.699,0.05,0.182,0.0,0.05,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067146.061107,5.718,0.35,0.105,0.0,0.091,1.0,0.05,0.0,0.0,57.0,45.0,45.0,41.0,
1676067146.2621984,5.718,0.0,0.053,0.0,0.0,1.0,0.0,0.0,0.0,57.0,45.0,45.0,41.0,
1676067146.4632711,5.718,0.05,0.095,0.0,0.0,1.0,0.0,0.048,0.0,57.0,45.0,45.0,41.0,
1676067146.6643476,5.718,0.05,0.1,0.0,0.0,1.0,0.1,0.0,0.0,57.0,48.0,45.0,41.0,
1676067146.865563,5.68,0.0,0.136,0.048,0.048,1.0,0.05,0.0,0.0,57.0,45.0,45.0,41.0,
1676067147.0666325,5.68,0.05,0.053,0.0,0.0,1.0,0.048,0.05,0.0,57.0,45.0,45.0,41.0,
1676067147.2677395,5.68,0.0,0.1,0.0,0.05,0.905,0.0,0.0,0.0,47.0,44.0,45.0,40.0,
1676067147.4689784,5.68,0.05,0.095,0.0,0.048,0.0,0.0,0.0,0.0,41.0,41.0,43.0,39.0,
1676067147.6701107,5.68,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,37.0,
1676067147.8712096,2.794,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,41.0,37.0,
1676067148.0722828,2.794,0.095,0.05,0.0,0.0,0.0,0.048,0.0,0.048,37.0,37.0,40.0,36.0,
1676067148.2735465,2.794,0.0,0.053,0.0,0.0,0.0,0.15,0.0,0.0,38.0,38.0,40.0,36.0,
1676067148.4747622,2.794,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,40.0,36.0,
1676067148.6758316,2.794,0.05,0.095,0.0,0.05,0.0,0.0,0.0,0.0,37.0,36.0,39.0,35.0,
1676067148.8770654,2.725,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,39.0,35.0,
1676067149.0781784,2.725,0.05,0.053,0.0,0.048,0.0,0.0,0.0,0.0,36.0,36.0,39.0,35.0,
1676067149.2792842,2.725,0.222,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.1,36.0,36.0,39.0,35.0,
1676067149.4803882,2.725,0.1,0.095,0.05,0.091,0.0,0.0,0.0,0.0,36.0,35.0,38.0,34.0,
1676067149.6816115,2.725,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,38.0,34.0,
1676067149.8828619,2.725,0.05,0.174,0.048,0.0,0.0,0.15,0.0,0.0,35.0,35.0,38.0,34.0,
1676067150.0839841,2.748,0.05,0.053,0.048,0.048,0.0,0.0,0.095,0.0,35.0,35.0,38.0,34.0,
1676067150.2852345,2.748,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,38.0,34.0,
1676067150.4863124,2.748,0.048,0.05,0.0,0.0,0.0,0.0,0.048,0.0,35.0,34.0,38.0,34.0,
1676067150.6873748,2.748,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.05,35.0,34.0,37.0,34.0,
1676067150.8884492,2.695,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,37.0,33.0,
1676067151.0896506,2.695,0.05,0.05,0.0,0.0,0.0,0.048,0.0,0.0,35.0,34.0,37.0,33.0,
1676067151.290741,2.695,0.05,0.1,0.0,0.0,0.0,0.105,0.0,0.0,35.0,35.0,37.0,33.0,
1676067151.49182,2.695,0.0,0.1,0.0,0.091,0.0,0.0,0.0,0.0,35.0,34.0,37.0,33.0,
1676067151.693068,2.695,0.0,0.136,0.0,0.048,0.0,0.0,0.0,0.0,34.0,34.0,37.0,33.0,
1676067151.8941503,2.695,0.091,0.053,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,37.0,33.0,
1676067152.0952833,2.683,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,37.0,33.0,
1676067152.296373,2.683,0.13,0.1,0.0,0.0,0.0,0.0,0.048,0.0,34.0,34.0,36.0,33.0,
1676067152.497623,2.683,0.0,0.05,0.0,0.0,0.0,0.048,0.0,0.0,34.0,34.0,37.0,33.0,
1676067152.698722,2.683,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,37.0,33.0,
1676067152.8998582,2.748,0.095,0.095,0.0,0.048,0.0,0.1,0.0,0.0,34.0,34.0,37.0,33.0,
1676067153.1011317,2.748,0.0,0.053,0.05,0.048,0.0,0.048,0.0,0.0,34.0,34.0,36.0,33.0,
1676067153.3022156,2.748,0.095,0.1,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,36.0,33.0,
1676067153.5033128,2.748,0.0,0.095,0.0,0.0,0.0,0.0,0.048,0.0,34.0,33.0,36.0,33.0,
1676067153.7043781,2.748,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,36.0,33.0,
1676067153.9055812,2.672,0.05,0.095,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,36.0,33.0,
1676067154.1066823,2.672,0.05,0.053,0.0,0.05,0.0,0.0,0.0,0.0,34.0,33.0,36.0,32.0,
1676067154.3077593,2.672,0.05,0.14300000000000002,0.0,0.048,0.0,0.1,0.0,0.0,34.0,35.0,37.0,33.0,
1676067154.5089984,2.672,0.0,0.05,0.048,0.048,0.048,0.0,0.0,0.0,34.0,33.0,36.0,32.0,
1676067154.7101529,2.672,0.095,0.053,0.0,0.0,0.0,0.048,0.1,0.1,34.0,34.0,37.0,33.0,
1676067154.9112325,2.95,0.05,0.1,0.0,0.048,0.0,0.0,0.0,0.0,34.0,33.0,36.0,33.0,
1676067155.1123226,2.95,0.05,0.095,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,36.0,32.0,
1676067155.313538,2.95,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,36.0,32.0,
1676067155.514623,2.95,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,34.0,33.0,36.0,32.0,
1676067155.7157001,2.95,0.0,0.095,0.0,0.05,0.048,0.0,0.0,0.0,33.0,33.0,36.0,32.0,
1676067155.9168065,2.798,0.095,0.053,0.0,0.048,0.0,0.14300000000000002,0.0,0.05,34.0,33.0,36.0,32.0,
